date,open,high,low,close,volume
2021-09-13,36608.45,36690.2,36328.9,36496.55,0
2021-09-14,36639.95,36755.3,36530.15,36614.95,0
2021-09-15,36543.55,36947.3,36498.95,36860.95,0
2021-09-16,36946.0,37717.2,36912.9,37682.9,0
2021-09-17,37929.5,38112.0,37397.85,37892.7,0
2021-09-20,37388.2,37801.6,37075.75,37114.95,0
2021-09-21,37238.4,37330.55,36528.0,37298.35,0
2021-09-22,37277.1,37319.2,36885.9,36987.2,0
2021-09-23,37241.25,37827.3,37235.45,37811.3,0
2021-09-24,37954.0,38109.15,37680.65,37783.5,0
2021-09-27,38054.75,38353.75,37975.7,38171.75,0
2021-09-28,38360.0,38366.55,37316.0,37867.8,0
2021-09-29,37601.1,37922.9,37372.1,37741.8,0
2021-09-30,37677.8,37884.3,37355.8,37411.05,0
2021-10-01,37140.4,37297.5,36894.85,37229.05,0
2021-10-04,37392.15,37670.6,37366.05,37602.7,0
2021-10-05,37499.8,37784.0,37378.65,37742.7,0
2021-10-06,37768.8,38105.75,37460.95,37479.4,0
2021-10-07,37894.0,37923.15,37657.3,37756.0,0
2021-10-08,37906.4,38103.15,37674.75,37835.3,0
2021-10-11,37782.75,38493.3,37762.85,38290.05,0
2021-10-12,38178.35,38607.8,38152.85,38516.05,0
2021-10-13,38735.3,38777.05,38507.05,38584.25,0
2021-10-14,38684.65,39373.95,38684.65,39329.35,0
2021-10-18,39794.25,39947.3,39574.8,39668.35,0
2021-10-19,39927.3,40007.45,39394.25,39569.4,0
2021-10-20,39545.45,39772.2,39300.15,39557.35,0
2021-10-21,39676.55,40199.45,39428.85,40164.75,0
2021-10-22,40192.65,40583.6,40155.35,40325.7,0
2021-10-25,40961.25,41827.65,40559.15,41266.4,0
2021-10-26,41057.75,41364.8,40829.15,41297.25,0
2021-10-27,41234.55,41341.2,40756.25,40800.25,0
2021-10-28,40915.15,40915.15,39352.45,39559.9,0
2021-10-29,39424.55,39773.3,38453.1,39270.55,0
2021-11-01,39432.15,39851.1,39131.85,39834.75,0
2021-11-02,39796.9,40103.85,39593.05,39897.15,0
2021-11-03,40040.65,40160.2,39309.4,39416.45,0
2021-11-04,39669.1,39732.45,39520.6,39564.1,0
2021-11-08,39674.05,39674.05,38934.4,39487.05,0
2021-11-09,39517.85,39558.8,39224.4,39401.7,0
2021-11-10,39206.2,39206.2,38875.3,39022.8,0
2021-11-11,38913.05,38913.05,38348.25,38571.6,0
2021-11-12,38707.15,38821.1,38469.7,38751.85,0
2021-11-15,38849.45,39114.95,38607.85,38675.85,0
2021-11-16,38710.9,38718.9,38216.8,38239.55,0
2021-11-17,38113.4,38454.65,37984.8,38006.05,0
2021-11-18,38071.9,38233.1,37749.15,37941.95,0
2021-11-22,38232.15,38241.0,36661.7,37252.3,0
2021-11-23,36787.0,37447.45,36654.2,37257.55,0
2021-11-24,37384.75,37890.85,37243.2,37346.7,0
2021-11-25,37362.05,37505.55,37118.55,37382.25,0
2021-11-26,36830.9,36860.85,35910.8,35951.9,0
2021-11-29,36224.45,36347.85,35341.75,35934.7,0
2021-11-30,35958.8,36773.15,35531.5,35600.45,0
2021-12-01,35902.9,36444.6,35834.75,36385.9,0
2021-12-02,36281.85,36552.45,36169.85,36535.65,0
2021-12-03,36497.3,36842.6,36066.45,36213.6,0
2021-12-06,36252.75,36344.55,35697.85,35736.65,0
2021-12-07,36086.95,36820.25,36017.65,36621.4,0
2021-12-08,37052.75,37381.25,36914.7,37268.3,0
2021-12-09,37331.75,37386.4,36890.35,37049.95,0
2021-12-10,37083.15,37149.9,36824.7,37104.0,0
2021-12-13,37358.2,37579.5,36863.6,36962.2,0
2021-12-14,36778.95,37036.8,36545.4,36894.75,0
2021-12-15,36929.5,37079.5,36747.3,36769.25,0
2021-12-16,37092.95,37153.7,36388.0,36585.45,0
2021-12-17,36491.8,36544.55,35537.6,35679.85,0
2021-12-20,35124.35,35197.85,34020.25,34436.5,0
2021-12-21,34863.35,35049.65,34392.35,34664.75,0
2021-12-22,34865.25,35104.85,34691.3,35095.25,0
2021-12-23,35350.5,35477.15,35046.3,35082.85,0
2021-12-24,35282.2,35289.95,34584.25,34879.65,0
2021-12-27,34573.65,35143.55,34237.95,35097.6,0
2021-12-28,35308.3,35351.4,35039.1,35173.35,0
2021-12-29,35168.85,35377.85,34894.2,34946.45,0
2021-12-30,34977.65,35161.35,34766.15,35131.1,0
2021-12-31,35114.4,35594.7,35114.4,35510.95,0
2022-01-03,35585.2,36485.0,35530.05,36467.65,0
2022-01-04,36551.25,36886.65,36380.85,36856.75,0
2022-01-05,36943.55,37860.3,36770.1,37644.9,0
2022-01-06,37242.55,37750.35,37061.35,37470.45,0
2022-01-07,37667.05,38134.5,37429.55,37755.1,0
2022-01-10,37930.55,38390.85,37930.55,38344.95,0
2022-01-11,38370.0,38504.15,38032.95,38433.55,0
2022-01-12,38719.6,38848.8,38611.6,38708.85,0
2022-01-13,38717.55,38717.55,38378.4,38465.7,0
2022-01-14,38302.35,38446.5,38009.3,38312.8,0
2022-01-17,38212.55,38615.2,38141.2,38243.85,0
2022-01-18,38337.4,38852.5,38095.4,38214.8,0
2022-01-19,38145.75,38328.0,37772.2,38058.85,0
2022-01-20,38106.1,38166.45,37593.15,37908.65,0
2022-01-21,37522.35,37738.65,37225.65,37738.65,0
2022-01-24,37601.95,37693.7,36383.55,36834.9,0
2022-01-25,36598.05,37786.65,36419.85,37714.0,0
2022-01-27,37058.2,38136.35,37014.75,38100.6,0
2022-01-28,38246.6,38409.35,37582.05,37687.5,0
2022-01-31,38091.8,38202.25,37650.5,37957.65,0
2022-02-01,38460.45,38802.05,37696.9,38569.4,0
2022-02-02,38841.55,39383.8,38760.85,39338.2,0
2022-02-03,39255.7,39419.9,38862.85,38880.6,0
2022-02-04,39128.0,39275.0,38563.45,38735.55,0
2022-02-07,38592.05,38834.7,37806.0,37990.2,0
2022-02-08,38176.1,38213.45,37320.45,37942.65,0
2022-02-09,38283.6,38642.8,38220.8,38602.4,0
2022-02-10,38801.45,39195.75,38521.15,38962.25,0
2022-02-11,38567.65,38789.95,38401.2,38434.35,0
2022-02-14,37664.0,37708.3,36829.2,36847.45,0
2022-02-15,36989.8,38229.15,36655.2,38152.85,0
2022-02-16,38296.5,38461.2,37770.8,37863.65,0
2022-02-17,38042.1,38123.4,37426.55,37458.9,0
2022-02-18,37344.45,37816.05,37304.65,37570.6,0
2022-02-21,37400.0,38051.95,37158.45,37702.7,0
2022-02-22,36833.0,37658.35,36833.0,37340.8,0
2022-02-23,37628.55,37773.8,37321.8,37358.15,0
2022-02-24,36085.2,36649.0,35002.1,35095.25,0
2022-02-25,35901.7,36677.2,35776.8,36485.4,0
2022-02-28,35938.95,36268.55,35616.2,36211.6,0
2022-03-02,35381.9,35545.95,34899.05,35475.8,0
2022-03-03,35621.15,35798.3,34725.65,34959.45,0
2022-03-04,34526.1,35095.75,34097.15,34376.35,0
2022-03-07,33278.15,33532.95,32387.75,32914.55,0
2022-03-08,32531.9,33258.85,32159.3,33206.9,0
2022-03-09,33278.9,33968.5,32952.2,33891.25,0
2022-03-10,35153.95,35370.55,34220.8,34400.7,0
2022-03-11,34331.0,34876.65,34096.0,34546.7,0
2022-03-14,34660.25,35432.95,34638.2,35343.65,0
2022-03-15,35467.95,35643.1,34707.3,34941.7,0
2022-03-16,35555.75,35805.35,35506.05,35689.3,0
2022-03-17,36302.0,36610.55,36302.0,36388.55,0
2022-03-21,36545.85,36575.25,35900.75,36046.15,0
2022-03-22,35975.6,36464.6,35389.65,36439.95,0
2022-03-23,36627.7,36822.2,36069.45,36084.95,0
2022-03-24,35633.7,35953.65,35426.3,35526.85,0
2022-03-25,35700.4,35710.05,35207.75,35536.45,0
2022-03-28,35488.7,35769.0,35016.85,35749.25,0
2022-03-29,35931.75,35969.65,35513.8,35923.9,0
2022-03-30,36241.55,36418.55,36075.1,36324.35,0
2022-03-31,36457.2,36588.85,36284.15,36371.0,0
2022-04-01,36298.35,37201.75,36243.25,37158.9,0
2022-04-04,37824.95,38762.75,37705.45,38600.85,0
2022-04-05,38731.3,38734.05,37937.95,37968.0,0
2022-04-06,37711.3,37867.15,37514.9,37591.55,0
2022-04-07,37421.75,37973.2,37348.5,37599.3,0
2022-04-08,37619.7,37881.65,37414.45,37803.1,0
2022-04-11,37591.75,37937.15,37531.15,37645.75,0
2022-04-12,37407.4,37919.5,37269.1,37747.85,0
2022-04-13,37887.3,37981.2,37415.5,37439.8,0
2022-04-18,36833.15,36964.8,36447.45,36791.6,0
2022-04-19,36806.8,37123.25,35931.25,36070.65,0
2022-04-20,36482.6,36511.15,36117.7,36351.55,0
2022-04-21,36513.1,36913.0,36398.85,36911.25,0
2022-04-22,36514.15,36553.75,35994.65,36008.2,0
2022-04-25,35792.35,36265.75,35533.05,36192.85,0
2022-04-26,36515.35,36603.7,36269.05,36390.15,0
2022-04-27,36067.55,36175.2,35748.55,36045.85,0
2022-04-28,36189.95,36500.0,35952.9,36424.0,0
2022-04-29,36474.05,36716.65,35980.85,36063.75,0
2022-05-02,35627.6,36231.1,35627.6,36138.45,0
2022-05-04,36266.15,36302.45,35130.0,35317.55,0
2022-05-05,35705.35,35934.0,35135.4,35160.1,0
2022-05-06,34569.1,34797.75,34353.4,34681.5,0
2022-05-09,34091.75,34547.2,33928.15,34321.05,0
2022-05-10,34181.2,34779.65,34181.2,34418.2,0
2022-05-11,34686.3,34791.7,34149.05,34776.25,0
2022-05-12,34289.1,34320.8,33300.05,33559.55,0
2022-05-13,33925.95,34001.85,33009.05,33086.35,0
2022-05-16,33256.0,33818.8,33010.1,33643.35,0
2022-05-17,33796.2,34366.05,33684.2,34346.75,0
2022-05-18,34448.2,34654.2,34135.5,34198.35,0
2022-05-19,33461.0,33624.9,33183.85,33359.0,0
2022-05-20,33765.15,34356.65,33696.95,34311.55,0
2022-05-23,34321.4,34819.35,34122.3,34157.8,0
2022-05-24,34223.2,34578.05,34132.25,34305.7,0
2022-05-25,34491.8,34720.85,34287.65,34313.9,0
2022-05-26,34670.6,35221.95,34425.15,35199.2,0
2022-05-27,35326.6,35693.25,35292.95,35617.7,0
2022-05-30,35958.8,36083.45,35750.55,35832.05,0
2022-05-31,35615.3,35878.95,35291.25,35362.85,0
2022-06-01,35358.95,35767.55,35287.8,35679.7,0
2022-06-02,35470.95,35674.15,35386.85,35608.25,0
2022-06-03,35929.55,35952.8,35176.05,35277.4,0
2022-06-06,35159.15,35422.4,35073.1,35314.05,0
2022-06-07,35080.8,35153.2,34834.45,34972.05,0
2022-06-08,35165.65,35446.5,34833.5,34888.75,0
2022-06-09,34802.25,35148.75,34660.4,35116.8,0
2022-06-10,34686.95,34744.9,34348.05,34479.4,0
2022-06-13,33728.65,33761.7,33213.6,33441.7,0
2022-06-14,33180.6,33617.8,33126.05,33329.55,0
2022-06-15,33317.8,33552.9,33249.8,33330.0,0
2022-06-16,33648.8,33754.8,32542.7,32573.8,0
2022-06-17,32393.45,32889.4,32298.0,32857.05,0
2022-06-20,32873.4,32923.75,32427.7,32699.45,0
2022-06-21,32978.05,33592.9,32799.0,33186.55,0
2022-06-22,33051.65,33080.65,32760.75,32793.5,0
2022-06-23,32927.4,33431.0,32654.95,33171.05,0
2022-06-24,33434.8,33720.7,33432.45,33655.9,0
2022-06-27,34126.2,34134.8,33736.95,33814.8,0
2022-06-28,33578.2,33744.4,33503.5,33692.25,0
2022-06-29,33273.55,33416.6,33188.2,33239.25,0
2022-06-30,33180.7,33658.4,33180.7,33360.6,0
2022-07-01,33264.75,33664.9,33082.45,33605.35,0
2022-07-04,33558.85,33976.95,33518.05,33964.75,0
2022-07-05,34084.7,34360.6,33760.35,33769.4,0
2022-07-06,33929.4,34385.2,33916.1,34355.55,0
2022-07-07,34627.4,34961.95,34560.85,34935.45,0
2022-07-08,35258.9,35258.9,34979.25,35125.55,0
2022-07-11,35017.6,35541.6,35017.6,35442.2,0
2022-07-12,35298.7,35417.3,35053.05,35054.05,0
2022-07-13,35259.8,35307.8,34760.5,34818.9,0
2022-07-14,34817.95,35027.2,34558.45,34663.15,0
2022-07-15,34734.45,34896.1,34465.0,34704.85,0
2022-07-18,34841.85,35381.8,34806.75,35354.0,0
2022-07-19,35113.25,35759.5,35113.25,35708.15,0
2022-07-20,36061.3,36181.7,35877.25,35890.85,0
2022-07-21,36026.55,36330.8,35888.5,36226.15,0
2022-07-22,36322.9,36823.35,36288.1,36737.05,0
2022-07-25,36766.7,37008.8,36469.95,36667.85,0
2022-07-26,36688.55,36689.5,36335.95,36349.85,0
2022-07-27,36370.55,36807.35,36249.15,36795.4,0
2022-07-28,37102.45,37412.4,37041.7,37336.25,0
2022-07-29,37717.3,37737.9,37223.4,37486.0,0
2022-08-01,37594.15,37936.35,37407.5,37867.15,0
2022-08-02,37767.7,38179.4,37633.15,37876.3,0
2022-08-03,37954.55,38067.25,37693.8,37999.7,0
2022-08-04,38111.05,38230.55,37252.7,37687.95,0
2022-08-05,37868.25,38149.2,37785.5,37907.25,0
2022-08-08,37847.35,38301.2,37684.55,38251.2,0
2022-08-10,38298.85,38400.5,38165.35,38277.0,0
2022-08-11,38712.95,38929.75,38652.15,38835.1,0
2022-08-12,38942.45,39087.8,38739.95,39052.35,0
2022-08-16,39284.1,39444.25,39120.45,39247.35,0
2022-08-17,39351.3,39502.55,39204.55,39416.2,0
2022-08-18,39324.4,39703.4,39295.5,39670.8,0
2022-08-19,39732.65,39750.9,38848.4,38900.15,0
2022-08-22,38693.65,38717.6,38248.9,38331.2,0
2022-08-23,37955.45,38865.8,37955.45,38852.2,0
2022-08-24,38552.7,39117.7,38552.7,39087.25,0
2022-08-25,39190.05,39471.05,38807.25,38847.95,0
2022-08-26,39129.65,39336.05,38849.3,39036.6,0
2022-08-29,38111.6,38394.35,37944.25,38346.85,0
2022-08-30,38516.95,39603.95,38489.35,39520.35,0
2022-09-01,38806.7,39666.55,38806.7,39345.8,0
2022-09-02,39422.3,39594.4,39203.4,39375.0,0
2022-09-05,39412.05,39862.0,39412.05,39754.45,0
2022-09-06,39892.95,40071.0,39567.5,39673.3,0
2022-09-07,39337.75,39570.6,39272.95,39457.65,0
2022-09-08,39763.9,40265.3,39707.35,40242.1,0
2022-09-09,40520.75,40683.75,40281.0,40385.0,0
2022-09-12,40540.45,40684.9,40378.5,40561.5,0
2022-09-13,40802.1,40903.55,40694.8,40864.95,0
2022-09-14,40308.8,41625.35,40306.35,41373.65,0
2022-09-15,41533.7,41834.55,41156.65,41208.45,0
2022-09-16,40977.2,41157.7,40502.5,40825.15,0
2022-09-19,40685.6,41182.65,40517.8,40966.05,0
2022-09-20,41304.15,41676.75,41237.75,41414.7,0
2022-09-21,41282.6,41499.35,40889.45,41197.6,0
2022-09-22,40889.05,41157.75,40361.05,40637.3,0
2022-09-23,40429.35,40528.3,39413.6,39555.35,0
2022-09-26,39027.85,39215.65,38493.4,38661.45,0
2022-09-27,38811.7,39048.6,38185.3,38526.3,0
2022-09-28,38081.25,38367.6,37630.55,37676.8,0
2022-09-29,38092.85,38283.1,37537.1,37695.3,0
2022-09-30,37660.0,38808.9,37391.3,38702.75,0
2022-10-03,38444.9,38636.95,37963.4,37974.9,0
2022-10-04,38700.4,39177.3,38633.85,39121.85,0
2022-10-06,39343.7,39605.85,39236.95,39239.25,0
2022-10-07,39093.5,39234.7,38808.45,39199.4,0
2022-10-10,38641.55,39315.65,38520.9,39113.7,0
2022-10-11,39058.85,39173.05,38624.65,38646.45,0
2022-10-12,38784.2,39153.35,38609.25,39128.6,0
2022-10-13,38957.65,39058.05,38439.35,38658.1,0
2022-10-14,39446.05,39569.8,39199.95,39370.65,0
2022-10-17,39295.6,39971.5,39148.2,39959.45,0
2022-10-18,40252.05,40432.7,40141.5,40303.95,0
2022-10-19,40556.65,40621.55,40196.4,40379.95,0
2022-10-20,40149.5,40194.0,39857.85,40116.0,0
2022-10-21,40370.75,41031.5,40370.4,40881.6,0
2022-10-24,41348.35,41420.4,41216.6,41367.3,0
2022-10-25,41513.65,41513.65,41022.2,41045.5,0
2022-10-27,41440.7,41511.15,41180.2,41335.4,0
2022-10-28,41236.8,41482.15,40840.25,41034.55,0
2022-10-31,41265.7,41351.3,41106.6,41314.9,0
2022-11-01,41552.4,41674.1,41196.8,41268.6,0
2022-11-02,41472.6,41472.6,41063.15,41107.75,0
2022-11-03,40873.7,41475.15,40848.8,41304.65,0
2022-11-04,41314.85,41514.85,41052.75,41297.15,0
2022-11-07,41740.65,41774.5,41338.5,41721.6,0
2022-11-09,41914.85,41948.8,41668.8,41690.65,0
2022-11-10,41462.85,41634.9,41319.45,41593.6,0
2022-11-11,42163.4,42345.15,41919.1,42149.7,0
2022-11-14,42177.55,42230.15,41966.2,42072.7,0
2022-11-15,42234.85,42444.05,42080.8,42430.25,0
2022-11-16,42371.8,42605.5,42297.7,42498.95,0
2022-11-17,42399.65,42621.5,42371.2,42426.0,0
2022-11-18,42545.75,42588.75,42224.6,42422.65,0
2022-11-21,42286.95,42383.65,42202.85,42360.9,0
2022-11-22,42467.4,42505.65,42348.15,42475.0,0
2022-11-23,42668.55,42860.5,42566.7,42675.8,0
2022-11-24,42838.35,43158.55,42785.9,43102.15,0
2022-11-25,43192.45,43338.3,42867.0,42961.35,0
2022-11-28,42757.2,43157.8,42757.2,42983.2,0
2022-11-29,42959.4,43278.2,42959.4,43045.3,0
2022-11-30,43122.75,43330.15,42881.65,43245.2,0
2022-12-01,43512.1,43512.1,43103.35,43219.75,0
2022-12-02,42976.7,43131.85,42938.05,43098.6,0
2022-12-05,43269.35,43371.65,42986.05,43321.3,0
2022-12-06,43093.9,43306.85,43079.4,43143.15,0
2022-12-07,43157.35,43322.6,42949.95,43108.8,0
2022-12-08,43142.25,43634.0,43095.9,43629.4,0
2022-12-09,43765.3,43852.2,43365.55,43627.5,0
2022-12-12,43455.85,43762.75,43380.35,43675.1,0
2022-12-13,43793.7,43980.55,43774.2,43921.85,0
2022-12-14,44078.6,44151.5,43988.25,44014.5,0
2022-12-15,43940.1,44120.1,43380.65,43391.8,0
2022-12-16,43261.75,43597.6,43081.15,43216.6,0
2022-12-19,43346.35,43451.4,43112.3,43440.35,0
2022-12-20,43152.65,43422.65,42955.7,43407.8,0
2022-12-21,43525.75,43614.65,42370.1,42658.05,0
2022-12-22,42864.0,42922.4,42233.9,42360.55,0
2022-12-23,41951.35,42200.35,41599.3,41666.15,0
2022-12-26,41716.35,42842.35,41571.95,42631.0,0
2022-12-27,42827.75,42922.6,42398.1,42876.2,0
2022-12-28,42733.6,43034.5,42700.9,42779.2,0
2022-12-29,42684.9,43361.45,42494.35,43309.1,0
2022-12-30,43401.7,43422.05,42836.05,43038.5,0
2023-01-02,43038.25,43373.8,42965.2,43234.3,0
2023-01-03,43151.45,43480.6,43151.45,43448.35,0
2023-01-04,43417.5,43577.35,42860.2,42979.6,0
2023-01-05,43073.05,43130.75,42300.6,42615.95,0
2023-01-06,42649.7,42685.9,41881.45,42218.0,0
2023-01-09,42404.85,42711.15,42189.6,42563.5,0
2023-01-10,42642.0,42661.7,41838.6,42053.5,0
2023-01-11,42071.85,42316.15,41731.0,42190.65,0
2023-01-12,42238.5,42342.75,41746.3,42092.95,0
2023-01-13,42171.25,42452.95,41886.8,42339.25,0
2023-01-16,42622.5,42712.3,42068.05,42161.95,0
2023-01-17,42241.2,42383.8,41863.0,42281.1,0
2023-01-18,42271.8,42555.25,42122.15,42473.75,0
2023-01-19,42416.3,42501.3,42237.55,42298.9,0
2023-01-20,42516.05,42707.3,42398.3,42514.05,0
2023-01-23,42891.45,43002.5,42729.5,42755.8,0
2023-01-24,42994.45,43077.0,42616.5,42715.15,0
2023-01-25,42703.6,42703.6,41541.25,41687.6,0
2023-01-27,41382.35,41392.3,40151.0,40365.3,0
2023-01-30,39856.15,40785.55,39421.1,40467.3,0
2023-01-31,40563.85,40809.55,40176.5,40759.6,0
2023-02-01,41115.0,42011.2,39501.35,40499.25,0
2023-02-02,39943.35,40753.7,39766.95,40722.4,0
2023-02-03,41019.35,41538.1,40615.9,41480.75,0
2023-02-06,41530.15,41722.0,41263.25,41367.1,0
2023-02-07,41513.1,41628.75,41097.1,41464.4,0
2023-02-08,41542.05,41789.25,41404.6,41494.05,0
2023-02-09,41634.0,41634.0,41256.25,41576.25,0
2023-02-10,41452.4,41678.3,41443.5,41542.6,0
2023-02-13,41563.5,41657.95,41162.15,41260.85,0
2023-02-14,41410.45,41715.25,41198.1,41625.5,0
2023-02-15,41674.6,41795.45,41456.05,41756.7,0
2023-02-16,41925.7,41974.4,41523.1,41554.1,0
2023-02-17,41514.0,41514.2,40886.9,41132.0,0
2023-02-20,41221.55,41292.3,40580.25,40707.15,0
2023-02-21,40784.9,40942.75,40508.85,40696.05,0
2023-02-22,40494.15,40518.7,39900.7,39968.7,0
2023-02-23,39983.7,40146.65,39603.8,40076.05,0
2023-02-24,40259.1,40346.95,39823.5,39904.7,0
2023-02-27,39820.4,40370.2,39750.0,40355.85,0
2023-02-28,40302.7,40385.35,40075.3,40282.85,0
2023-03-01,40473.85,40724.05,40360.45,40703.45,0
2023-03-02,40604.55,40771.3,40315.7,40332.7,0
2023-03-03,40671.4,41389.0,40630.7,41236.85,0
2023-03-06,41418.4,41667.8,41260.55,41396.0,0
2023-03-08,41178.35,41625.35,41101.15,41573.5,0
2023-03-09,41532.65,41655.5,41209.15,41227.9,0
2023-03-10,40805.25,40811.2,40345.4,40488.75,0
2023-03-13,40356.1,40687.75,39457.0,39627.0,0
2023-03-14,39522.4,39765.7,39136.15,39481.35,0
2023-03-15,39777.9,39909.75,38938.95,39020.8,0
2023-03-16,39061.7,39381.05,38617.8,39210.1,0
2023-03-17,39442.4,39691.65,38929.85,39686.6,0
2023-03-20,39512.1,39512.1,38943.35,39377.3,0
2023-03-21,39599.65,39970.2,39366.3,39867.5,0
2023-03-22,40036.0,40082.75,39844.85,39958.85,0
2023-03-23,39836.15,40201.6,39555.9,39580.15,0
2023-03-24,39555.25,39767.55,39294.9,39351.8,0
2023-03-27,39484.7,39694.05,39274.7,39309.45,0
2023-03-28,39545.05,39641.25,39328.75,39605.95,0
2023-03-29,39611.55,40051.9,39611.55,40013.3,0
2023-03-31,40231.25,40688.85,40205.6,40602.35,0
2023-04-03,40695.8,40857.05,40536.15,40815.1,0
2023-04-05,40972.3,41069.3,40814.15,41008.55,0
2023-04-06,40940.7,41274.4,40821.9,41039.05,0
2023-04-10,41116.15,41134.9,40730.0,40796.45,0
2023-04-11,41232.0,41402.3,41026.25,41385.05,0
2023-04-12,41426.0,41610.15,41334.85,41577.2,0
2023-04-13,41680.1,42193.95,41504.1,42137.8,0
2023-04-17,42603.55,42603.55,41801.15,42216.7,0
2023-04-18,42406.95,42497.95,42119.8,42255.65,0
2023-04-19,42280.1,42338.2,42022.5,42151.1,0
2023-04-20,42218.5,42377.05,42109.05,42274.2,0
2023-04-21,42252.55,42379.6,41963.85,42089.25,0
2023-04-24,42469.95,42713.25,42293.45,42641.85,0
2023-04-25,42731.6,42864.9,42604.5,42654.15,0
2023-04-26,42559.05,42869.65,42434.85,42866.45,0
2023-04-27,42753.9,43042.25,42742.45,42961.75,0
2023-04-28,43045.5,43300.2,42811.1,43226.25,0
2023-05-02,43395.05,43483.85,43283.65,43309.65,0
2023-05-03,43154.85,43354.05,43079.65,43292.0,0
2023-05-04,43236.1,43737.5,43221.25,43635.9,0
2023-05-05,43110.65,43581.55,42587.55,42669.25,0
2023-05-08,42796.85,43418.55,42796.85,43314.4,0
2023-05-09,43438.55,43532.4,43129.25,43171.6,0
2023-05-10,43275.25,43379.3,42824.55,43343.85,0
2023-05-11,43535.1,43672.05,43370.2,43506.75,0
2023-05-12,43447.15,43903.6,43347.75,43794.2,0
2023-05-15,43821.05,44151.7,43673.05,44045.15,0
2023-05-16,44144.15,44144.15,43818.6,43856.0,0
2023-05-17,43948.5,43987.25,43447.45,43748.9,0
2023-05-18,44006.9,44079.2,43677.0,43770.1,0
2023-05-19,43930.0,44020.8,43532.25,43956.4,0
2023-05-22,43935.3,44026.2,43686.1,43826.2,0
2023-05-23,43978.9,44093.8,43860.4,43873.85,0
2023-05-24,43751.95,44010.45,43639.8,43662.9,0
2023-05-25,43630.25,43717.95,43393.35,43679.2,0
2023-05-26,43765.35,44066.5,43589.15,43996.5,0
2023-05-29,44276.8,44478.95,44228.35,44323.45,0
